x1,x2,x3,x4,x5,x6,y
1018.4,1607,138.2,96259,2239.1,50760,1132.3
1258.9,1769.7,143.8,97542,2619.4,39370,1146.4
1359.4,1996.5,195.5,98705,2976.1,44530,1159.9
1545.6,2048.4,207.1,100072,3309.1,39790,1175.8
1761.6,2162.3,220.7,101654,3637.9,33130,1212.3
1960.8,2375.6,270.6,103008,4020.5,34710,1367
2295.5,2789,316.7,104357,4694.5,31890,1642.9
2541.6,3448.7,417.9,105851,5773,44370,2004.8
2763.9,3967,525.7,107507,6542,47140,2122
3204.3,4585.8,665.8,109300,7451.2,42090,2199.4
3831,5777.2,810,111026,9360.1,50870,2357.2
4228,6484,859.4,112704,10556.5,46990,2664.9
5017,6858,794,114333,11365.2,38470,2937.1
5288.6,8087.1,1015.1,115823,13145.9,55470,3149.5
5800,10284.5,1415,117171,15952.1,51330,3483.4
6882.1,14143.8,2284.7,118517,20182.1,48830,4349
9457.2,19359.6,3012.6,119850,26796,55040,5218.1
11993,24718.3,3819.6,121121,33635,45821,6242.2
13844.2,29082.6,4530.5,122389,40003.9,46989,7408
14211.2,32412.1,4810.6,123626,43579.4,53429,8651.1
14599.6,33429.8,5262,124810,46405.9,50145,9876